year,district,govR,govD,presD,presR,shD,shR,black,latino,hhinc,bach,dem_challenger,gained_challenger,lost_challenger
2013,1,0.785,0.204,0.2634639122,0.7365360878,0,1,0.0338134318,0.0129993298,35939,0.1356578878,0,NA,NA
2013,2,0.367,0.623,0.5968257991,0.4031742009,0.49,0.51,0.2489662023,0.1820407975,95302,0.367541492,1,NA,NA
2013,3,0.814,0.18,0.2519222923,0.7480777077,0,1,0.0288682576,0.0077473107,35286,0.12108393,0,NA,NA
2013,4,0.751,0.241,0.3092691357,0.6907308643,0,1,0.021961877,0.0131593946,37853,0.1622438579,0,NA,NA
2013,5,0.762,0.229,0.3000436999,0.6999563001,0,1,0.0277274714,0.0315118966,37843,0.1764379956,0,NA,NA
2013,6,0.754,0.237,0.3207131783,0.6792868217,0,1,0.0237698982,0.0195139304,37174,0.1554902438,0,NA,NA
2013,7,0.63,0.356,0.3922286161,0.6077713839,0,1,0.0436699998,0.0220376876,50948,0.2546580467,0,NA,NA
2013,8,0.614,0.371,0.3772213444,0.6227786556,0,1,0.0430463987,0.024807241,55421,0.3245218855,0,NA,NA
2013,9,0.705,0.284,0.352899913,0.647100087,0,1,0.1052763914,0.0287894598,38886,0.1607370635,0,NA,NA
2013,10,0.448,0.541,0.4815396505,0.5184603495,0.38,0.62,0.0791115926,0.1276923077,108798,0.5014293401,1,NA,NA
2013,11,0.328,0.658,0.6550369173,0.3449630827,1,0,0.3233319115,0.0604716349,39301,0.2380486764,1,NA,NA
2013,12,0.447,0.534,0.5211907329,0.4788092671,0.42,0.58,0.0532021633,0.0277512664,39677,0.4173278016,1,NA,NA
2013,13,0.415,0.571,0.5560782225,0.4439217775,0.44,0.56,0.1198853449,0.2676122284,87768,0.3689905566,1,NA,NA
2013,14,0.551,0.442,0.4982915265,0.5017084735,0,1,0.3566234302,0.0368369478,35976,0.1547698097,0,NA,NA
2013,15,0.711,0.278,0.3458818926,0.6541181074,0,1,0.0203520899,0.0447198946,49259,0.1689253345,0,NA,NA
2013,16,0.624,0.368,0.4363175023,0.5636824977,0,1,0.2739487309,0.035597929,38872,0.14698236,0,NA,NA
2013,17,0.595,0.392,0.3938530771,0.6061469229,0,1,0.0675464892,0.0314030855,53927,0.296617239,0,NA,NA
