DMA_name,ad_volume
"Washington, DC (Hagerstown, MD)",222
"San Diego, CA",196
"Monterey-Salinas, CA",0
"Sacramento-Stockton-Modesto, CA",421
"Baltimore, MD",10
"San Francisco-Oakland-San Jose, CA",128
"Yuma, AZ-El Centro, CA",0
"Palm Springs, CA",5
"Harrisburg-Lancaster-Lebanon-York, PA",411
"Santa Barbara-Santa Maria-San Luis Obispo, CA",59
"Bakersfield, CA",54
"Green Bay-Appleton, WI",47
"Las Vegas, NV",7
"Salt Lake City, UT",6
"Los Angeles, CA",169
"Fresno-Visalia, CA",87
"Minneapolis-St. Paul, MN",559
"Colorado Springs-Pueblo, CO",346
"Rochester, MN-Mason City, IA-Austin, MN",275
"Reno, NV",9
"Burlington, VT-Plattsburgh, NY",224
"Hartford & New Haven, CT",70
"Madison, WI",13
"Seattle-Tacoma, WA",8
"Idaho Falls-Pocatello, ID",24
"Philadelphia, PA",1095
"Phoenix, AZ",297
"Richmond-Petersburg, VA",5
"Rockford, IL",91
"Providence, RI-New Bedford, MA",2
"North Platte, NE",0
"Wausau-Rhinelander, WI",55
"Ft. Myers-Naples, FL",103
"Milwaukee, WI",42
"Lima, OH",0
"Casper-Riverton, WY",0
"Twin Falls, ID",6
"Boise, ID",57
"Yakima-Pasco-Richland-Kennewick, WA",82
"Miami-Fort Lauderdale, FL",77
"Sherman, TX-Ada, OK",3
"West Palm Beach-Ft. Pierce, FL",205
"Denver, CO",925
"Des Moines-Ames, IA",502
"Billings, MT",5
"Norfolk-Portsmouth-Newport News, VA",325
"Tampa-St. Petersburg (Sarasota), FL",811
"Austin, TX",368
"Mankato, MN",0
"Boston, MA (Manchester, NH)",649
"Wilkes Barre-Scranton, PA",262
"Chicago, IL",349
"Grand Junction-Montrose, CO",79
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",297
"Dallas-Ft. Worth, TX",766
"Salisbury, MD",0
"Sioux City, IA",373
"Butte-Bozeman, MT",27
"Charlottesville, VA",11
"La Crosse-Eau Claire, WI",0
"Orlando-Daytona Beach-Melbourne, FL",231
"Albany-Schenectady-Troy, NY",45
"Springfield-Holyoke, MA",4
"Portland-Auburn, ME",110
"Ft. Wayne, IN",3
"Portland, OR",60
"Omaha, NE",102
"South Bend-Elkhart, IN",83
"New York, NY",97
"Kansas City, MO",235
"Grand Rapids-Kalamazoo-Battle Creek, MI",578
"Cheyenne, WY-Scottsbluff, NE",5
"Lincoln & Hastings-Kearney, NE",38
"St. Joseph, MO",0
"Wichita-Hutchinson, KS Plus",601
"Atlanta, GA",137
"Flint-Saginaw-Bay City, MI",616
"Rochester, NY",157
"Helena, MT",6
"Chico-Redding, CA",1
"Houston, TX",349
"Davenport, IA-Rock Island-Moline, IL",464
"Dayton, OH",50
"Toledo, OH",2
"Harrisonburg, VA",0
"Peoria-Bloomington, IL",105
"Sioux Falls (Mitchell), SD",168
"St. Louis, MO",70
"Indianapolis, IN",146
"Lansing, MI",202
"Victoria, TX",0
"Binghamton, NY",86
"Syracuse, NY",20
"Utica, NY",72
"Columbus, OH",140
"Duluth, MN-Superior, WI",17
"Youngstown, OH",34
"Rapid City, SD",64
"Tucson (Sierra Vista), AZ",133
"Minot-Bismarck-Dickinson(Williston), ND",42
"Elmira, NY",78
"Johnstown-Altoona, PA",226
"Great Falls, MT",8
"Bend, OR",11
"Quincy, IL-Hannibal, MO-Keokuk, IA",47
"Detroit, MI",852
"Spokane, WA",70
"Cincinnati, OH",226
"Erie, PA",29
"Watertown, NY",136
"Columbia-Jefferson City, MO",2
"Champaign & Springfield-Decatur, IL",15
"Zanesville, OH",0
"Pittsburgh, PA",1594
"Glendive, MT",0
"Cleveland-Akron (Canton), OH",44
"Buffalo, NY",28
"Traverse City-Cadillac, MI",345
"Jacksonville, FL",220
"Charlotte, NC",385
"Medford-Klamath Falls, OR",66
"Louisville, KY",279
"Bangor, ME",184
"Topeka, KS",0
"Odessa-Midland, TX",47
"Fargo-Valley City, ND",15
"Eugene, OR",104
"Missoula, MT",27
"Eureka, CA",0
"Greensboro-High Point-Winston Salem, NC",333
"Oklahoma City, OK",74
"New Orleans, LA",38
"Marquette, MI",145
"Alpena, MI",54
"Nashville, TN",206
"San Antonio, TX",312
"Tulsa, OK",12
"Wheeling, WV-Steubenville, OH",20
"Wichita Falls, TX-Lawton, OK",0
"Springfield, MO",1
"Abilene-Sweetwater, TX",5
"Evansville, IN",48
"Ft. Smith-Fayetteville-Springdale-Rogers, AR",151
"Beaumont-Port Arthur, TX",43
"Waco-Temple-Bryan, TX",20
"Amarillo, TX",0
"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",43
"Mobile, AL-Pensacola (Ft. Walton Beach), FL",76
"Charleston, SC",71
"Chattanooga, TN",257
"Panama City, FL",76
"Joplin, MO-Pittsburg, KS",48
"Roanoke-Lynchburg, VA",31
"Raleigh-Durham (Fayetteville), NC",282
"Lafayette, IN",0
"Presque Isle, ME",52
"Huntsville-Decatur (Florence), AL",2
"Lake Charles, LA",15
"Gainesville, FL",1
"San Angelo, TX",8
"Columbia, SC",40
"Albuquerque-Santa Fe, NM",538
"Wilmington, NC",51
"Tyler-Longview(Lufkin & Nacogdoches), TX",67
"Ottumwa, IA-Kirksville, MO",25
"Terre Haute, IN",9
"Biloxi-Gulfport, MS",0
"Birmingham (Anniston and Tuscaloosa), AL",72
"Lubbock, TX",3
"Parkersburg, WV",0
"Montgomery-Selma, AL",8
"Savannah, GA",133
"Myrtle Beach-Florence, SC",55
"Little Rock-Pine Bluff, AR",448
"Lafayette, LA",49
"Baton Rouge, LA",141
"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",90
"Augusta, GA",293
"Dothan, AL",9
"Bluefield-Beckley-Oak Hill, WV",128
"Shreveport, LA",29
"Greenville-New Bern-Washington, NC",155
"Clarksburg-Weston, WV",0
"Memphis, TN",133
"Knoxville, TN",231
"El Paso, TX",26
"Bowling Green, KY",20
"Tallahassee, FL-Thomasville, GA",418
"Jonesboro, AR",22
"Charleston-Huntington, WV",129
"Macon, GA",31
"Jackson, TN",4
"Tri-Cities, TN-VA",168
"Hattiesburg-Laurel, MS",0
"Albany, GA",17
"Columbus, GA",55
"Alexandria, LA",66
"Jackson, MS",0
"Lexington, KY",338
"Corpus Christi, TX",8
"Monroe, LA-El Dorado, AR",89
"Laredo, TX",0
"Columbus-Tupelo-West Point, MS",0
"Meridian, MS",0
"Harlingen-Weslaco-Brownsville-McAllen, TX",4
"Greenwood-Greenville, MS",0
